amount,note,type_name,type_category
-478,Примітка 0,Оренда офісу,Інше
-710,Примітка 1,Шафа,Оренда
-2,Примітка 2,Ручка,Інше
-921,Примітка 3,Мило,Їжа
924,Примітка 4,Мило,Інше
74,Примітка 5,Мило,Інше
-295,Примітка 6,Оренда офісу,Канцелярія
-655,Примітка 7,Ручка,Інше
879,Примітка 8,Ручка,Їжа
902,Примітка 9,Оренда офісу,Канцелярія
-193,Примітка 10,Кава,Інше
936,Примітка 11,Ручка,Оренда
627,Примітка 12,Хліб,Оренда
598,Примітка 13,Хліб,Їжа
372,Примітка 14,Хліб,Канцелярія
337,Примітка 15,Хліб,Канцелярія
-744,Примітка 16,Шафа,Канцелярія
-806,Примітка 17,Кава,Оренда
257,Примітка 18,Мило,Інше
676,Примітка 19,Хліб,Їжа
444,Примітка 20,Шафа,Канцелярія
-67,Примітка 21,Мило,Їжа
207,Примітка 22,Шафа,Їжа
-867,Примітка 23,Папір,Їжа
308,Примітка 24,Ручка,Інше
-720,Примітка 25,Шафа,Оренда
866,Примітка 26,Шафа,Канцелярія
-110,Примітка 27,Шафа,Їжа
253,Примітка 28,Хліб,Канцелярія
-655,Примітка 29,Мило,Інше
931,Примітка 30,Папір,Інше
855,Примітка 31,Шафа,Оренда
605,Примітка 32,Мило,Канцелярія
-602,Примітка 33,Кава,Канцелярія
-406,Примітка 34,Хліб,Їжа
83,Примітка 35,Хліб,Інше
-338,Примітка 36,Хліб,Оренда
-829,Примітка 37,Хліб,Їжа
-522,Примітка 38,Мило,Інше
-344,Примітка 39,Хліб,Інше
-306,Примітка 40,Хліб,Їжа
-802,Примітка 41,Кава,Канцелярія
810,Примітка 42,Папір,Інше
-880,Примітка 43,Шафа,Канцелярія
330,Примітка 44,Ручка,Їжа
902,Примітка 45,Папір,Канцелярія
-172,Примітка 46,Хліб,Їжа
-348,Примітка 47,Ручка,Канцелярія
-622,Примітка 48,Мило,Канцелярія
-801,Примітка 49,Шафа,Оренда
826,Примітка 50,Мило,Інше
679,Примітка 51,Мило,Оренда
-876,Примітка 52,Шафа,Оренда
-873,Примітка 53,Хліб,Оренда
-875,Примітка 54,Шафа,Їжа
-965,Примітка 55,Мило,Канцелярія
-413,Примітка 56,Хліб,Їжа
515,Примітка 57,Оренда офісу,Їжа
-35,Примітка 58,Мило,Їжа
533,Примітка 59,Ручка,Оренда
-745,Примітка 60,Мило,Канцелярія
700,Примітка 61,Ручка,Їжа
213,Примітка 62,Мило,Їжа
-525,Примітка 63,Папір,Оренда
-874,Примітка 64,Оренда офісу,Інше
904,Примітка 65,Кава,Оренда
-223,Примітка 66,Кава,Їжа
-406,Примітка 67,Мило,Канцелярія
-318,Примітка 68,Хліб,Їжа
770,Примітка 69,Оренда офісу,Інше
-940,Примітка 70,Кава,Інше
85,Примітка 71,Оренда офісу,Їжа
242,Примітка 72,Ручка,Оренда
257,Примітка 73,Хліб,Інше
289,Примітка 74,Хліб,Оренда
148,Примітка 75,Хліб,Інше
388,Примітка 76,Хліб,Інше
-406,Примітка 77,Кава,Оренда
-435,Примітка 78,Кава,Інше
935,Примітка 79,Ручка,Інше
-674,Примітка 80,Папір,Їжа
-297,Примітка 81,Кава,Канцелярія
879,Примітка 82,Кава,Їжа
645,Примітка 83,Ручка,Їжа
29,Примітка 84,Оренда офісу,Інше
679,Примітка 85,Мило,Інше
-1000,Примітка 86,Хліб,Канцелярія
753,Примітка 87,Хліб,Інше
165,Примітка 88,Оренда офісу,Оренда
919,Примітка 89,Папір,Оренда
781,Примітка 90,Мило,Оренда
-741,Примітка 91,Шафа,Їжа
259,Примітка 92,Мило,Їжа
-465,Примітка 93,Кава,Їжа
-379,Примітка 94,Оренда офісу,Їжа
-148,Примітка 95,Кава,Їжа
19,Примітка 96,Папір,Їжа
-990,Примітка 97,Шафа,Їжа
649,Примітка 98,Мило,Їжа
457,Примітка 99,Кава,Оренда
-631,Примітка 100,Шафа,Канцелярія
207,Примітка 101,Хліб,Канцелярія
-728,Примітка 102,Папір,Канцелярія
-39,Примітка 103,Мило,Оренда
-219,Примітка 104,Мило,Оренда
-751,Примітка 105,Мило,Оренда
983,Примітка 106,Кава,Канцелярія
909,Примітка 107,Оренда офісу,Канцелярія
117,Примітка 108,Ручка,Оренда
-676,Примітка 109,Мило,Канцелярія
-284,Примітка 110,Хліб,Оренда
-175,Примітка 111,Шафа,Їжа
644,Примітка 112,Мило,Канцелярія
144,Примітка 113,Кава,Оренда
-933,Примітка 114,Оренда офісу,Канцелярія
-601,Примітка 115,Мило,Оренда
-749,Примітка 116,Ручка,Оренда
-880,Примітка 117,Оренда офісу,Їжа
-490,Примітка 118,Хліб,Оренда
-584,Примітка 119,Папір,Їжа
-35,Примітка 120,Мило,Інше
-129,Примітка 121,Оренда офісу,Оренда
-924,Примітка 122,Папір,Їжа
-513,Примітка 123,Мило,Інше
103,Примітка 124,Оренда офісу,Інше
252,Примітка 125,Хліб,Канцелярія
-852,Примітка 126,Кава,Інше
294,Примітка 127,Папір,Їжа
604,Примітка 128,Хліб,Їжа
-375,Примітка 129,Шафа,Оренда
-966,Примітка 130,Папір,Оренда
422,Примітка 131,Мило,Оренда
344,Примітка 132,Оренда офісу,Їжа
172,Примітка 133,Хліб,Їжа
474,Примітка 134,Шафа,Канцелярія
-562,Примітка 135,Кава,Оренда
-939,Примітка 136,Ручка,Канцелярія
-557,Примітка 137,Хліб,Їжа
-502,Примітка 138,Шафа,Оренда
-516,Примітка 139,Хліб,Їжа
-507,Примітка 140,Кава,Канцелярія
156,Примітка 141,Оренда офісу,Канцелярія
926,Примітка 142,Ручка,Канцелярія
471,Примітка 143,Оренда офісу,Канцелярія
52,Примітка 144,Мило,Їжа
-289,Примітка 145,Ручка,Їжа
-198,Примітка 146,Ручка,Оренда
-600,Примітка 147,Хліб,Оренда
-510,Примітка 148,Оренда офісу,Їжа
991,Примітка 149,Шафа,Їжа
682,Примітка 150,Шафа,Канцелярія
675,Примітка 151,Ручка,Інше
359,Примітка 152,Шафа,Інше
-147,Примітка 153,Ручка,Їжа
425,Примітка 154,Папір,Оренда
-773,Примітка 155,Кава,Їжа
-94,Примітка 156,Хліб,Канцелярія
-951,Примітка 157,Хліб,Їжа
128,Примітка 158,Шафа,Оренда
611,Примітка 159,Папір,Оренда
-783,Примітка 160,Оренда офісу,Їжа
786,Примітка 161,Папір,Інше
44,Примітка 162,Хліб,Інше
-388,Примітка 163,Ручка,Інше
-459,Примітка 164,Хліб,Оренда
838,Примітка 165,Шафа,Їжа
61,Примітка 166,Мило,Оренда
609,Примітка 167,Ручка,Оренда
-970,Примітка 168,Ручка,Їжа
379,Примітка 169,Шафа,Оренда
-295,Примітка 170,Мило,Інше
475,Примітка 171,Папір,Їжа
687,Примітка 172,Мило,Оренда
717,Примітка 173,Шафа,Канцелярія
606,Примітка 174,Шафа,Оренда
871,Примітка 175,Хліб,Їжа
-937,Примітка 176,Ручка,Оренда
894,Примітка 177,Папір,Їжа
862,Примітка 178,Ручка,Їжа
750,Примітка 179,Папір,Їжа
893,Примітка 180,Папір,Оренда
135,Примітка 181,Папір,Оренда
-205,Примітка 182,Папір,Їжа
187,Примітка 183,Шафа,Інше
258,Примітка 184,Папір,Оренда
-414,Примітка 185,Оренда офісу,Оренда
-73,Примітка 186,Кава,Оренда
-617,Примітка 187,Оренда офісу,Їжа
917,Примітка 188,Ручка,Інше
-242,Примітка 189,Папір,Їжа
378,Примітка 190,Ручка,Інше
388,Примітка 191,Мило,Канцелярія
-294,Примітка 192,Ручка,Їжа
-476,Примітка 193,Ручка,Їжа
154,Примітка 194,Папір,Їжа
674,Примітка 195,Шафа,Канцелярія
176,Примітка 196,Шафа,Оренда
-376,Примітка 197,Шафа,Інше
-487,Примітка 198,Кава,Канцелярія
-530,Примітка 199,Хліб,Канцелярія
124,Примітка 200,Ручка,Інше
589,Примітка 201,Папір,Інше
-968,Примітка 202,Оренда офісу,Їжа
695,Примітка 203,Папір,Інше
691,Примітка 204,Шафа,Інше
38,Примітка 205,Шафа,Їжа
-281,Примітка 206,Папір,Інше
-714,Примітка 207,Хліб,Інше
21,Примітка 208,Мило,Їжа
-226,Примітка 209,Папір,Інше
621,Примітка 210,Хліб,Оренда
-543,Примітка 211,Оренда офісу,Інше
-42,Примітка 212,Кава,Оренда
571,Примітка 213,Ручка,Канцелярія
-18,Примітка 214,Мило,Канцелярія
-337,Примітка 215,Оренда офісу,Їжа
-551,Примітка 216,Кава,Оренда
421,Примітка 217,Мило,Їжа
235,Примітка 218,Кава,Оренда
-466,Примітка 219,Папір,Канцелярія
-692,Примітка 220,Хліб,Інше
-686,Примітка 221,Оренда офісу,Інше
-357,Примітка 222,Шафа,Канцелярія
-916,Примітка 223,Ручка,Канцелярія
-586,Примітка 224,Кава,Оренда
-843,Примітка 225,Кава,Їжа
-874,Примітка 226,Папір,Канцелярія
-554,Примітка 227,Шафа,Канцелярія
367,Примітка 228,Оренда офісу,Їжа
651,Примітка 229,Оренда офісу,Інше
-709,Примітка 230,Оренда офісу,Оренда
-604,Примітка 231,Хліб,Інше
100,Примітка 232,Оренда офісу,Їжа
